Nombre,Descripción,Imagen
Disco duro interno,Almacenamiento principal,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
SSD interno,Almacenamiento rápido,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Unidad óptica (DVD),Lectura de discos,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Disco duro externo,Almacenamiento adicional,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
SSD externo,Almacenamiento rápido portátil,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Memoria USB,Almacenamiento portátil,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Tarjeta SD,Almacenamiento en cámaras,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
MicroSD,Almacenamiento en móviles,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Blu-ray,Almacenamiento óptico,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Cinta magnética,Backup de datos,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
RAID,Almacenamiento redundante,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
NAS,Almacenamiento en red,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Cloud Storage,Almacenamiento en la nube,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Zip Drive,Almacenamiento portátil antiguo,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Disquete,Almacenamiento clásico,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
